,DATE,AWND,PRCP,SNOW,SNWD,TAVG,Weather Type,Freq
0,2018-01-01,7.83,0.0,0.0,0.0,-10.555555555555555,N,1184
1,2018-01-02,8.05,0.0,0.0,0.0,-6.944444444444445,N,1338
2,2018-01-03,3.13,0.0,0.0,0.0,-5.0,N,1519
3,2018-01-04,12.53,0.76,9.8,1.2,-4.444444444444445,Y,706
4,2018-01-05,12.97,0.0,0.0,7.1,-10.0,N,1659
5,2018-01-06,10.96,0.0,0.0,5.9,-12.5,N,1699
6,2018-01-07,6.49,0.0,0.0,5.9,-11.38888888888889,N,1461
7,2018-01-08,5.82,0.01,0.0,5.1,-4.444444444444445,Y,1651
8,2018-01-09,6.71,0.0,0.0,5.1,2.7777777777777777,N,1827
9,2018-01-10,4.25,0.0,0.0,3.9,2.5,N,1842
10,2018-01-11,3.13,0.0,0.0,3.1,8.333333333333332,Y,2008
11,2018-01-12,6.93,0.54,0.0,0.0,11.38888888888889,Y,2033
12,2018-01-13,9.62,0.05,0.0,0.0,3.611111111111111,Y,2098
13,2018-01-14,8.05,0.0,0.0,0.0,-6.666666666666667,N,1832
14,2018-01-15,8.05,0.0,0.0,0.0,-5.0,N,1568
15,2018-01-16,4.03,0.0,0.0,0.0,-0.8333333333333333,N,1962
16,2018-01-17,6.04,0.19,0.4,0.0,-1.6666666666666665,Y,2100
17,2018-01-18,7.83,0.0,0.0,0.0,-3.888888888888889,N,2144
18,2018-01-19,5.37,0.0,0.0,0.0,0.2777777777777777,N,2180
19,2018-01-20,8.5,0.0,0.0,0.0,7.222222222222222,N,1854
20,2018-01-21,2.91,0.0,0.0,0.0,7.777777777777778,N,1656
21,2018-01-22,5.37,0.01,0.0,0.0,6.388888888888889,Y,1650
22,2018-01-23,6.26,0.3,0.0,0.0,9.444444444444445,Y,1981
23,2018-01-24,9.4,0.0,0.0,0.0,1.9444444444444446,N,2089
24,2018-01-25,6.71,0.0,0.0,0.0,-1.9444444444444444,N,2241
25,2018-01-26,3.8,0.0,0.0,0.0,0.0,N,2238
26,2018-01-27,6.49,0.0,0.0,0.0,7.5,N,2003
27,2018-01-28,3.8,0.21,0.0,0.0,10.277777777777779,Y,1693
28,2018-01-29,9.17,0.0,0.1,0.0,5.0,Y,1706
29,2018-01-30,7.61,0.11,0.9,0.0,-1.1111111111111112,Y,2112
30,2018-01-31,6.71,0.0,0.0,0.0,-3.611111111111111,Y,2160
31,2018-02-01,3.8,0.05,0.0,0.0,3.611111111111111,N,2289
32,2018-02-02,9.17,0.18,0.0,0.0,-1.666666666666667,Y,2330
33,2018-02-03,7.61,0.0,0.0,0.0,-4.722222222222222,N,2005
34,2018-02-04,4.03,0.96,0.0,0.0,3.333333333333333,Y,1760
35,2018-02-05,7.61,0.0,0.0,0.0,0.5555555555555556,Y,1878
36,2018-02-06,4.03,0.0,0.0,0.0,-0.2777777777777779,N,2046
37,2018-02-07,6.71,0.85,0.5,0.0,3.0555555555555554,Y,2081
38,2018-02-08,6.71,0.0,0.0,0.0,-1.6666666666666665,N,2274
39,2018-02-09,4.92,0.0,0.0,0.0,0.2777777777777777,N,2285
40,2018-02-10,2.24,0.58,0.0,0.0,6.944444444444445,Y,2041
41,2018-02-11,3.13,1.21,0.0,0.0,11.944444444444445,Y,1770
42,2018-02-12,7.16,0.0,0.0,0.0,8.333333333333334,N,1845
43,2018-02-13,5.59,0.0,0.0,0.0,0.0,N,2070
44,2018-02-14,5.37,0.08,0.0,0.0,6.666666666666666,N,2105
45,2018-02-15,5.14,0.16,0.0,0.0,12.222222222222223,Y,2213
46,2018-02-16,6.93,0.09,0.0,0.0,8.333333333333334,Y,2055
47,2018-02-17,4.47,0.52,4.4,0.0,1.1111111111111112,Y,1892
48,2018-02-18,5.82,0.01,0.0,3.1,3.611111111111111,Y,1532
49,2018-02-19,4.25,0.04,0.0,0.0,5.833333333333334,Y,1544
50,2018-02-20,6.04,0.0,0.0,0.0,13.88888888888889,Y,1696
51,2018-02-21,5.82,0.06,0.0,0.0,19.166666666666668,Y,1904
52,2018-02-22,8.28,0.17,0.0,0.0,8.88888888888889,Y,2138
53,2018-02-23,6.26,0.06,0.0,0.0,3.888888888888889,Y,2140
54,2018-02-24,5.37,0.08,0.0,0.0,9.166666666666668,Y,1978
55,2018-02-25,6.26,0.73,0.0,0.0,5.555555555555555,Y,1650
56,2018-02-26,4.47,0.0,0.0,0.0,8.61111111111111,Y,1770
57,2018-02-27,4.47,0.0,0.0,0.0,8.61111111111111,N,2064
58,2018-02-28,5.14,0.0,0.0,0.0,10.833333333333332,N,2039
59,2018-03-01,5.14,0.38,0.0,0.0,11.11111111111111,Y,2138
60,2018-03-02,10.51,1.86,0.0,0.0,3.8888888888888893,Y,2185
61,2018-03-03,11.18,0.0,0.0,0.0,5.833333333333334,Y,2046
62,2018-03-04,9.62,0.0,0.0,0.0,3.8888888888888893,N,1811
63,2018-03-05,7.16,0.0,0.0,0.0,3.333333333333333,N,1782
64,2018-03-06,4.7,0.0,0.0,0.0,4.166666666666667,N,2096
